t,v_10,v_90
294.8666667,-87.74041333,-23.75842
294.9,-87.73214667,-23.76006333
294.9333333,-87.72636,-23.76170667
294.9666667,-87.72057333,-23.76335
295,-87.71478667,-23.76499333
295.0333333,-87.709,-23.76663667
295.0666667,-87.71478667,-23.76828
295.1,-87.72057333,-23.76992333
295.1333333,-87.72636,-23.77156667
295.1666667,-87.73214667,-23.77321
295.2,-87.73793333,-23.77485333
295.2333333,-87.74372,-23.77649667
295.2666667,-87.74950667,-23.77814
295.3,-87.75529333,-23.77978333
295.3333333,-87.76108,-23.78142667
295.3666667,-87.76686667,-23.78307
295.4,-87.77265333,-23.78471333
295.4333333,-87.77844,-23.78635667
295.4666667,-87.78422667,-23.788
295.5,-87.79001333,-23.78964333
295.5333333,-87.7958,-23.79128667
295.5666667,-87.80158667,-23.79294
295.6,-87.80737333,-23.82350333
295.6333333,-87.81316,-23.85406667
295.6666667,-87.81894667,-23.88463
295.7,-87.82473333,-23.91519333
295.7333333,-87.83052,-23.94575667
295.7666667,-87.83630667,-23.97632
295.8,-87.84209333,-24.00688333
295.8333333,-87.84788,-24.03744667
295.8666667,-87.85366667,-24.06801
295.9,-87.85945333,-24.09857333
295.9333333,-87.85286,-24.12913667
295.9666667,-87.84626667,-24.1597
296,-87.83967333,-24.19026333
296.0333333,-87.83308,-24.22082667
296.0666667,-87.81491333,-24.25139
296.1,-87.79674667,-24.28195333
296.1333333,-87.77858,-24.31251667
296.1666667,-87.76041333,-24.34308
296.2,-87.75466667,-24.37364333
296.2333333,-87.75383,-24.40420667
296.2666667,-87.75299333,-24.43477
296.3,-87.75215667,-24.46533333
296.3333333,-87.75132,-24.49589667
296.3666667,-87.75048333,-24.52646
296.4,-87.74964667,-24.55702333
296.4333333,-87.74881,-24.58758667
296.4666667,-87.74797333,-24.61815
296.5,-87.74713667,-24.64871333
296.5333333,-87.7463,-24.67927667
296.5666667,-87.74546333,-24.70735
296.6,-87.74462667,-24.72387333
296.6333333,-87.74379,-24.74039667
296.6666667,-87.74295333,-24.75692
296.7,-87.74211667,-24.77344333
296.7333333,-87.74128,-24.78996667
296.7666667,-87.74044333,-24.80649
296.8,-87.73960667,-24.82301333
296.8333333,-87.73877,-24.83953667
296.8666667,-87.73793333,-24.85606
296.9,-87.73958667,-24.87258333
296.9333333,-87.75116,-24.88910667
296.9666667,-87.76604,-24.90563
297,-87.78092,-24.92215333
297.0333333,-87.7958,-24.93867667
297.0666667,-87.81316,-24.9552
297.1,-87.83052,-24.97172333
297.1333333,-87.84788,-24.98824667
297.1666667,-87.86524,-25.00477
297.2,-87.85383,-25.02129333
297.2333333,-87.82492,-25.03781667
297.2666667,-87.79601,-25.05434
297.3,-87.7671,-25.07086333
297.3333333,-87.73819,-25.08738667
297.3666667,-87.70928,-25.10391
297.4,-87.69673,-25.12043333
297.4333333,-87.68434,-25.13695667
297.4666667,-87.67195,-25.15348
297.5,-87.65956,-25.17000333
297.5333333,-87.64717,-25.18652667
297.5666667,-87.63478,-25.20553
297.6,-87.62239,-25.21872333
297.6333333,-87.61,-25.23191667
297.6666667,-87.59761,-25.24511
297.7,-87.58522,-25.25830333
297.7333333,-87.58522,-25.27149667
297.7666667,-87.59761,-25.28469
297.8,-87.61,-25.29788333
297.8333333,-87.62239,-25.31107667
297.8666667,-87.63478,-25.32427
297.9,-87.64717,-25.33746333
297.9333333,-87.65956,-25.35065667
297.9666667,-87.67195,-25.36385
298,-87.68434,-25.37704333
298.0333333,-87.69673,-25.39023667
298.0666667,-87.70928,-25.40343
298.1,-87.73819,-25.41662333
298.1333333,-87.7671,-25.42981667
298.1666667,-87.79601,-25.44301
298.2,-87.82492,-25.45620333
298.2333333,-87.85383,-25.46939667
298.2666667,-87.8826,-25.48259
298.3,-87.8826,-25.49578333
298.3333333,-87.8826,-25.50897667
298.3666667,-87.8826,-25.52217
298.4,-87.8826,-25.53536333
298.4333333,-87.8826,-25.54855667
298.4666667,-87.8826,-25.56175
298.5,-87.8826,-25.57494333
298.5333333,-87.8826,-25.58813667
298.5666667,-87.88272,-25.59886
298.6,-87.86057667,-25.62694333
298.6333333,-87.82093333,-25.65502667
298.6666667,-87.81101,-25.68311
298.7,-87.82492,-25.71119333
298.7333333,-87.85383,-25.73927667
298.7666667,-87.8826,-25.76736
298.8,-87.8826,-25.79544333
298.8333333,-87.87105,-25.82352667
298.8666667,-87.8595,-25.85161
298.9,-87.84795,-25.87969333
298.9333333,-87.8364,-25.90777667
298.9666667,-87.82485,-25.93586
299,-87.8133,-25.96394333
299.0333333,-87.80175,-25.99202667
299.0666667,-87.79268,-26.02011
299.1,-87.78361,-26.04819333
299.1333333,-87.77454,-26.07627667
299.1666667,-87.76547,-26.10436
299.2,-87.7564,-26.13244333
299.2333333,-87.75377,-26.16052667
299.2666667,-87.75460667,-26.18861
299.3,-87.75544333,-26.21669333
299.3333333,-87.75628,-26.24477667
299.3666667,-87.75711667,-26.27286
299.4,-87.77280333,-26.30094333
299.4333333,-87.79346,-26.32902667
299.4666667,-87.81411667,-26.35711
299.5,-87.84816,-26.38519333
299.5333333,-87.88533667,-26.41327667
299.5666667,-87.92251333,-26.43888
299.6,-87.95969,-26.45872
299.6333333,-87.99686667,-26.47856
299.6666667,-88.03404333,-26.4984
299.7,-88.07122,-26.51824
299.7333333,-88.09344,-26.53808
299.7666667,-88.08453333,-26.55792
299.8,-88.07562667,-26.57776
299.8333333,-88.06672,-26.5976
299.8666667,-88.08058667,-26.61744
299.9,-88.09445333,-26.63728
299.9333333,-88.10832,-26.65712
299.9666667,-88.10828,-26.67696
300,-88.10497333,-26.6968
300.0333333,-88.10166667,-26.71664
300.0666667,-88.0934,-26.73648
300.1,-88.07934667,-26.75632
300.1333333,-88.06529333,-26.77616
300.1666667,-88.05124,-26.796
300.2,-88.05448667,-26.81584
300.2333333,-88.07016333,-26.83568
300.2666667,-88.09092,-26.85552
300.3,-88.08017333,-26.87536
300.3333333,-88.06942667,-26.8952
300.3666667,-88.05868,-26.91504
300.4,-88.04793333,-26.93488
300.4333333,-88.03718667,-26.95472
300.4666667,-88.02644,-26.97456
300.5,-88.01569333,-26.9944
300.5333333,-88.00494667,-27.01424
300.5666667,-87.9942,-27.03408
300.6,-87.98844333,-27.04811
300.6333333,-87.98760667,-27.06214
300.6666667,-87.98677,-27.07617
300.7,-87.98593333,-27.0902
300.7333333,-87.97766667,-27.10423
300.7666667,-87.9694,-27.11826
300.8,-87.96113333,-27.13229
300.8333333,-87.95286667,-27.14632
300.8666667,-87.9446,-27.16035
300.9,-87.94212,-27.17438
300.9333333,-87.93964,-27.18841
300.9666667,-87.93716,-27.20244
301,-87.93468,-27.21647
301.0333333,-87.9322,-27.2305
301.0666667,-87.92972,-27.24453
301.1,-87.89849333,-27.25856
301.1333333,-87.86712667,-27.27259
301.1666667,-87.83890667,-27.28662
301.2,-87.82556,-27.30065
301.2333333,-87.82225333,-27.31468
301.2666667,-87.82225333,-27.32871
301.3,-87.82556,-27.34274
301.3333333,-87.82886667,-27.35677
301.3666667,-87.83713333,-27.3708
301.4,-87.8454,-27.38483
301.4333333,-87.85366667,-27.39886
301.4666667,-87.86193333,-27.41289
